timestamp,temperature_C
2025-07-01 12:00:00+00:00,25.02
2025-07-01 12:00:01+00:00,24.98
2025-07-01 12:00:02+00:00,25.05
2025-07-01 12:00:03+00:00,25.0
2025-07-01 12:00:04+00:00,24.97
2025-07-01 12:00:05+00:00,24.99
2025-07-01 12:00:06+00:00,25.01
2025-07-01 12:00:07+00:00,25.0
2025-07-01 12:00:08+00:00,24.98
2025-07-01 12:00:09+00:00,24.98
2025-07-01 12:00:10+00:00,24.99
2025-07-01 12:00:11+00:00,25.0
2025-07-01 12:00:12+00:00,25.0
2025-07-01 12:00:13+00:00,25.01
2025-07-01 12:00:14+00:00,25.01
2025-07-01 12:00:15+00:00,24.99
2025-07-01 12:00:16+00:00,25.0
2025-07-01 12:00:17+00:00,25.02
2025-07-01 12:00:18+00:00,24.97
2025-07-01 12:00:19+00:00,24.97
2025-07-01 12:00:20+00:00,24.97
2025-07-01 12:00:21+00:00,24.98
2025-07-01 12:00:22+00:00,24.98
2025-07-01 12:00:23+00:00,24.98
2025-07-01 12:00:24+00:00,24.98
2025-07-01 12:00:25+00:00,25.01
2025-07-01 12:00:26+00:00,24.99
2025-07-01 12:00:27+00:00,25.02
2025-07-01 12:00:28+00:00,24.97
2025-07-01 12:00:29+00:00,24.99
2025-07-01 12:00:30+00:00,25.0
